num-1,sym,lvl,92,93,94,95,96,97,98,99,100,101,103,104,105,106,107,109,110,113,121,122,123,126
0,atom,lvlMO,0.5,0.3,0.8,0,1.9,0.9,0.6,0.3,0.4,0.1,2,0.7,0.4,0.6,0.2,4.9,0.5,0.5,0.7,0.6,0.8,2
1,atom,lvlMO,0.8,1.8,1.1,0.1,2.6,1.4,1.5,0.3,1.4,0.3,2.2,0.4,0.2,0.2,0.9,2.1,1.4,1.2,2.1,1.7,4.1,5.4
2,atom,lvlMO,1.5,5,7.1,0,29.4,1.7,3.9,0.6,2.5,0.8,1.6,0.9,0.1,1.6,0.2,2.2,1.1,0.5,1.6,10.3,3.1,8.6
3,atom,lvlMO,0.2,0.8,1.2,0,5,0.9,2.8,0.1,3.3,1.8,0.4,0.1,0,0.9,0.1,0.8,0.4,0.1,0.3,1.2,0.3,2.9
4,atom,lvlMO,0.8,2.1,3.9,0,15.9,0.5,1.1,0.3,0.7,0.3,0.4,0.1,0,0.3,0,0,0,0,0.2,1.4,0.2,1.3
5,atom,lvlMO,0.5,1.5,0.7,0.1,2.3,1.4,1.4,0,0.5,0.4,2.4,1.9,0.7,3.2,0.6,1.5,2.9,1.1,5.5,3.6,2.2,1.9
6,atom,lvlMO,2.3,18.6,0.7,1.2,1.9,2.5,0.1,2.8,0.2,0,0.4,0.5,0.4,0.7,0.4,0.7,0.2,0.8,4.2,5.5,5.1,5.1
7,atom,lvlMO,6.1,11.3,6.9,2.3,2.7,0.4,0.3,0.6,0.1,0.3,2.9,0.3,0.7,2.7,2.1,2.9,0.7,1,2.8,5.1,3.5,4.1
8,atom,lvlMO,15.7,2.5,5.7,0.3,4.6,1.4,0.9,0.6,0.2,0.7,0.5,4.2,1.5,1.6,1.7,2,1,2.4,4.4,5.7,5.8,4.3
9,atom,lvlMO,7.4,10,7.6,2.7,1.6,0.7,0,1,0,0,0.9,4.5,3.1,0.6,2.6,1.5,1.3,4,2,4.1,5.9,4.7
10,atom,lvlMO,2.4,18.5,0.7,2.6,1.4,3.1,0.6,4,0,0.1,1,1.1,3.4,1.2,0.6,5.9,1.7,5.1,1,4.5,3.8,3.7
11,atom,lvlMO,15.1,2,6.2,1.1,6,1.3,0.2,1.2,0,0.3,0.7,0.2,1.2,6.4,2.4,4,3.4,1.5,1.5,4.2,3.1,3.4
12,atom,lvlMO,0.1,0.2,0.2,0,0.3,1.7,2.3,0.2,1.5,0,4.7,0.5,0.1,0.1,2.4,0,3.2,3.3,0.5,0.9,0.6,1.2
13,atom,lvlMO,1,1.1,0.3,0,1.1,3,3,0,0,0.6,0.3,0.1,0.3,7.9,0.2,0.7,6.9,1.2,3.5,2.1,1,0.1
14,atom,lvlMO,0,0.9,0.1,0.1,0,0.6,0.9,0,0,0.3,6.9,2.8,0.9,0.9,1.6,1,0.1,2,4.3,0.5,0.2,0.6
15,atom,lvlMO,0.2,0.8,0.4,0.7,0.2,0.3,0.8,0.1,0.1,1,5.1,0.5,2.2,4.4,5.5,4.6,0.1,0.1,0.8,1.4,0.8,0.5
16,atom,lvlMO,0.9,0.3,0.7,0.1,0.2,2.1,2.5,0.2,0,2,0.1,10.5,3.6,4.2,2.4,2.1,0.3,0.6,2.9,2.3,1,0.8
17,atom,lvlMO,0.3,0.4,0.4,0.8,0,0,0.3,0.1,0.1,0.7,0,10.7,6.6,1.4,7.5,0.4,1.2,11.1,1.6,1.6,0.5,0.8
18,atom,lvlMO,0.2,0.8,0.4,3.7,0.6,0.4,1.3,2.3,0,0.4,0.1,2,8.8,0.5,1.6,8.6,5.4,18.2,1.6,1.5,0.9,0.6
19,atom,lvlMO,0.7,0.1,0.6,1.7,1,0.3,0.5,0.7,0,0.4,1,0.4,2.2,16.9,4.4,2.7,11.4,3.5,0.5,0.8,0.6,0.4
20,atom,lvlMO,0.5,0,1.3,0.2,1,1.6,0.7,0.5,0,0.1,2.8,1.5,0.1,1.4,0.6,10.7,0.5,0.1,0,0.4,0.7,0.8
21,atom,lvlMO,0.5,0.4,1.1,0.1,2.3,3.9,2.6,0.8,1.9,0.1,6,2.1,1.4,0.3,0,15.6,0.8,1.3,0.3,0.3,0.1,0.6
